data_code,max_hour,sec_max_hour,min_hour,sec_min_hour,cum_early,cum_late,cum_mid,cum_all,threshold,cum_early_percent,cum_late_percent,cum_mid_percent,first_condition_D,second_condition_D,third_condition_D,first_condition_N,second_condition_N,third_condition_N,daytime_peaking,nighttime_peaking
210,21.647,19.2172,9.6235,12.0431,4.495321671,5.194935527,2.745946479,14.70494313,0.500437883,0.305701398,0.353278179,0.186736287,N,N,N,Y,Y,Y,N,Y
211,19.1279,21.5268,11.9337,14.3581,2.965379549,3.533007661,1.414868016,12.5802846,0.503104574,0.235716412,0.280836863,0.112467091,N,N,N,Y,Y,Y,N,Y
212,16.7323,4.8047,9.5783,11.9221,6.741528557,6.908084053,4.541703183,17.11972415,0.501739363,0.393787219,0.403516084,0.265290675,Y,N,N,Y,N,Y,N,N
213,2.3698,19.1699,9.5763,16.7832,1.097665267,1.836038454,0.310536052,8.764058637,0.502243354,0.125246226,0.209496368,0.035432904,N,N,N,Y,Y,Y,N,Y
214,2.3381,4.7409,9.578,11.955,4.501531301,3.831411639,2.359158597,13.46140536,0.501741461,0.334402775,0.284621965,0.175253514,N,N,N,Y,Y,Y,N,Y
215,21.5756,19.1708,9.5558,11.9273,2.816964767,4.696813719,2.045187724,12.46005454,0.503100356,0.22607965,0.376949692,0.164139548,N,N,N,Y,Y,Y,N,Y
216,21.5617,2.3672,9.5773,11.9863,4.64282895,5.186362173,2.797316446,15.36131502,0.501745657,0.302241634,0.337624882,0.182101366,N,N,N,Y,Y,Y,N,Y
217,19.1635,21.5794,16.8156,9.5458,2.040446294,2.477789817,0.801441768,9.963884095,0.50260938,0.204784226,0.248677102,0.080434674,N,N,N,Y,Y,Y,N,Y
218,16.81,2.4187,12.0168,9.6317,5.613761092,5.577565616,3.465225924,15.66919213,0.50266412,0.358267424,0.355957446,0.221148984,N,N,N,Y,N,Y,N,N
219,21.5788,19.1897,16.7901,11.9652,2.820447651,2.67343121,1.208445403,11.28740366,0.502653592,0.249875679,0.236850855,0.107061415,N,N,N,Y,Y,Y,N,Y
220,2.3648,7.2281,9.6334,12.0142,4.749359967,4.524324175,2.775361773,13.70665613,0.50205844,0.346500264,0.33008227,0.202482775,N,N,N,Y,Y,Y,N,Y
221,21.5756,19.1858,9.5966,11.9381,2.917095016,4.112081576,1.553935302,12.69295465,0.502603065,0.229820014,0.323965671,0.122425026,N,N,N,Y,Y,Y,N,Y
222,21.602,19.1666,9.6002,12.0124,4.875987286,5.417021687,3.082860772,14.97030527,0.502266477,0.325710612,0.361851117,0.205931724,N,N,N,Y,Y,Y,N,Y
223,7.4872,10.4874,19.4748,16.4937,9.542164828,7.004102168,7.171552325,12.23862162,0.572117837,0.779676431,0.572295017,0.585977126,Y,Y,E,Y,Y,N,Y,N
224,14.221,13.356,5.915,3.088,5.132302202,6.980075377,5.90904248,8.466984451,0.505050505,0.606154674,0.824387409,0.697892209,Y,Y,L,N,N,N,Y,N
225,14.255,13.014,6.17,3.342,5.071460483,6.652513256,5.82788475,7.569059637,0.535475234,0.670025172,0.878908818,0.769961531,Y,Y,L,N,N,N,Y,N
